questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,grade,year,QCLabel,Question,subject,category,fold
VASoL_2008_3_34,34,1,C,1,0,Virginia Standards of Learning - Science,3,2008,matter_properties of objects_TEXT,A student is asked to bring something that feels rough to class. Which would be BEST for him to bring? (A) Pillow (B) Marble (C) Sandpaper (D) Trading card,,Train,Easy
MCAS_2015_8_6,6,1,B,1,0,MCAS,8,2015,celestial_FEATURES_STELLAR,Which of the following statements best describes the role of gravity in the formation of stars? (A) Gravity converts solid matter into gases and light energy. (B) Gravity causes gases and dust particles to condense into spheres. (C) Gravity cools gases and liquids until they become one solid mass. (D) Gravity pushes rocks and dust particles outward from a dense center.,,Test,Easy
Mercury_SC_417677,417677,1,B,1,0,Mercury,4,2015,energy_LIGHT_REFLECT,A polished metal ball looks very shiny and bright on a sunny day. What makes the ball look shiny? (A) The ball makes light. (B) The ball reflects light. (C) The ball absorbs light and then releases it. (D) The ball absorbs light and keeps it inside.,,Test,Challenge
Mercury_7230423,7230423,1,A,1,0,Mercury,9,2015,LIFE_EXTINCTION_MASSEX,Which was a main force driving extensive speciation when the environment became hospitable to Life_after the Permian mass extinction? (A) increase in available ecological niches (B) increase of atmospheric oxygen to present levels (C) increase in genetic diversity among surviving organisms (D) increase in interbreeding between organisms of different species,,Test,Easy
NYSEDREGENTS_2007_8_6,6,1,2,1,0,NYSEDREGENTS,8,2007,Life_functions_features and functions_CELLBIO_MEIOSIS,"Compared to the amount of hereditary information in a human body cell, how much hereditary information is contained in a human sex cell? (1) one-quarter the amount (2) one-half the amount (3) the same amount (4) twice the amount",,Train,Challenge
Mercury_404099,404099,1,C,1,0,Mercury,6,2015,EARTH_INNER_CMC_MANTLE,What best describes the mantle of Earth? (A) a thin layer that is located on the surface (B) a solid layer made of iron and nickel (C) the largest layer between the crust and outer core (D) the smallest layer that is made up of molten rock,,Train,Easy
MCAS_2003_8_8,8,1,B,1,0,MCAS,8,2003,LIFE_interdependency_POPDYN,A rabbit population has increased noticeably in the past ten years. Which of the following is a reasonable hypothesis for this population growth? (A) Competition for food has increased among rabbits. (B) The rabbit's main predator has been eliminated by human development. (C) Abnormal weather conditions have decreased water levels of the local ponds. (D) An organism that relies on similar food sources has migrated into the area.,,Train,Challenge
Mercury_7112805,7112805,1,A,1,0,Mercury,8,2015,EARTH_GEO_FOSSILS_LOC,"The ichthyornis was a type of bird that lived over 65 million years ago. It lived near the sea and hunted for fish over the water. Fossils have been found in Kansas, many miles from the present-day ocean. Which cause of extinction is most likely to be found in the fossil record along with ichthyornis fossils? (A) changes in the environment (B) diseases causing illness (C) changes in the weather (D) predator animals",,Test,Easy
Mercury_7041020,7041020,1,B,1,0,Mercury,8,2015,LIFE_interdependency_FOODCHAIN_DEF,Which organisms form the base of all ecosystems? (A) scavengers (B) producers (C) consumers (D) decomposers,,Train,Easy
MCAS_1998_4_13,13,1,B,1,0,MCAS,4,1998,Life_cycle_animal cycle_INSECT,Some factories release pollutants into the air that form acid rain. What determines where the acid rain is most likely to fall? (A) ocean currents (B) wind direction (C) air temperature (D) relative humidity,,Test,Challenge
Mercury_415265,415265,1,B,1,0,Mercury,6,2015,Life_functions_features and functions_CELLBIO_UNIMULTICELL,In which way is a prokaryotic cell different from a eukaryotic cell? (A) A prokaryotic cell is larger. (B) A prokaryotic cell has no nucleus. (C) A prokaryotic cell can reproduce itself. (D) A prokaryotic cell has a cell membrane.,,Test,Easy
Mercury_7145250,7145250,1,B,1,0,Mercury,9,2015,LIFE_CLASSIFICATION,"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different Life_cycles from each other. Which most likely describes why the body structures of these animals are so similar? (A) Both have undergone similar mutations. (B) Both descended from a common ancestor. (C) Both reacted similarly to environmental pressures. (D) Both spread out from the same geographical region.",,Train,Easy
Mercury_407767,407767,1,D,1,0,Mercury,7,2015,matter_ENVEFF_TEMP,"Water at 20 degrees Celsius is placed on a stove. As the water is heated, thermal energy is absorbed by the water. If the water is heated to a maximum temperature of 80 degrees Celsius, what happens as a result of the increased temperature? (A) The potential energy increases. (B) The evaporation decreases. (C) The disorder decreases. (D) The entropy increases.",,Test,Easy
Mercury_SC_406669,406669,1,D,1,0,Mercury,4,2015,Life_cycle_plant  cycle,Which would most likely need to happen for a new plant to grow? (A) Leaves grow out of a stem. (B) Insects get attracted to the petals. (C) A blossom falls into the soil. (D) A seed sprouts into a seedling.,,Train,Challenge
NYSEDREGENTS_2015_4_29,29,1,A,1,0,NYSEDREGENTS,4,2015,LIFE_interdependency_FOODCHAIN_SUN,What is the main source of energy for all of the organisms in most food chains? (A) sunlight (B) water (C) green plants (D) decomposers,,Test,Challenge
Mercury_7145530,7145530,1,C,1,0,Mercury,9,2015,Life_functions_features and functions_CELLBIO,Helena investigates how enzymes are important to body processes. How is the role of enzymes in biochemical activity best explained? (A) Enzymes work at all pH levels. (B) Enzymes decrease the rate of metabolism. (C) Enzymes enable reactions to occur at lower temperatures. (D) Enzymes raise the activation energy needed for a reaction.,,Train,Challenge
Mercury_7030153,7030153,1,C,1,0,Mercury,8,2015,Life_functions_features and functions_animal_BREATHING,"The cilia in the respiratory system are responsible for preventing dirt and mucus from entering the bronchial tubes and lungs. If the cilia are damaged, the person's bronchial tubes and lungs are most likely to (A) close to prevent further damage. (B) stop producing mucus. (C) become clogged. (D) become efficient.",,Dev,Easy
Mercury_7026863,7026863,1,B,1,0,Mercury,8,2015,energy_LIGHT_REFLECT,Which type of light can cause severe eye damage if it is viewed directly? (A) an infrared light (B) a laser beam (C) an incandescent light (D) a Bunsen burner flame,,Dev,Easy
NYSEDREGENTS_2016_4_2,2,1,A,1,0,NYSEDREGENTS,4,2016,Life_reproduction_DNA inheritance_ACQUIRED,An example of a learned behavior is (A) driving a car (B) having blue eyes (C) shivering in the cold (D) breathing air,,Train,Easy
